window,step,test_patient,train_shape,test_shape,train_lable_count,test_label_count,accuracy,f1_score,precision,recall,conf_matrix,clf_report,loss
300,30,P231,"(25541, 25)","(1020, 25)","{0.0: 17886, 1.0: 7655}",{0.0: 1020},0.9321534037590027,0.9314178824424744,0.9321534037590027,0.9321534037590027,"[[948  69]
 [  0   0]]","{'0': {'precision': 1.0, 'recall': 0.9321533923303835, 'f1-score': 0.9648854961832062, 'support': 1017}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.9321533923303835, 'macro avg': {'precision': 0.5, 'recall': 0.46607669616519176, 'f1-score': 0.4824427480916031, 'support': 1017}, 'weighted avg': {'precision': 1.0, 'recall': 0.9321533923303835, 'f1-score': 0.9648854961832062, 'support': 1017}}",0.09264755994081497
300,30,P351,"(22765, 25)","(3796, 25)","{0.0: 15110, 1.0: 7655}",{0.0: 3796},0.9549169540405273,0.9554687738418579,0.9549169540405273,0.9549169540405273,"[[3622  171]
 [   0    0]]","{'0': {'precision': 1.0, 'recall': 0.9549169522805168, 'f1-score': 0.9769386378961564, 'support': 3793}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.9549169522805168, 'macro avg': {'precision': 0.5, 'recall': 0.4774584761402584, 'f1-score': 0.4884693189480782, 'support': 3793}, 'weighted avg': {'precision': 1.0, 'recall': 0.9549169522805168, 'f1-score': 0.9769386378961564, 'support': 3793}}",0.08427400141954422
300,30,P379,"(25146, 25)","(1415, 25)","{0.0: 17930, 1.0: 7216}","{0.0: 976, 1.0: 439}",0.776203989982605,0.7445651888847351,0.776203989982605,0.776203989982605,"[[753 220]
 [ 96 343]]","{'0': {'precision': 0.8869257950530035, 'recall': 0.7738951695786228, 'f1-score': 0.8265642151481888, 'support': 973}, '1': {'precision': 0.6092362344582594, 'recall': 0.7813211845102506, 'f1-score': 0.6846307385229541, 'support': 439}, 'accuracy': 0.7762039660056658, 'macro avg': {'precision': 0.7480810147556314, 'recall': 0.7776081770444367, 'f1-score': 0.7555974768355714, 'support': 1412}, 'weighted avg': {'precision': 0.8005903013553458, 'recall': 0.7762039660056658, 'f1-score': 0.7824361724863771, 'support': 1412}}",0.7522684335708618
300,30,P551,"(25348, 25)","(1213, 25)","{0.0: 18713, 1.0: 6635}","{1.0: 1020, 0.0: 193}",0.8652892708778381,0.8648479580879211,0.8652892708778381,0.8652892708778381,"[[ 53 137]
 [ 26 994]]","{'0': {'precision': 0.6708860759493671, 'recall': 0.2789473684210526, 'f1-score': 0.39405204460966536, 'support': 190}, '1': {'precision': 0.878868258178603, 'recall': 0.9745098039215686, 'f1-score': 0.9242212924221292, 'support': 1020}, 'accuracy': 0.8652892561983471, 'macro avg': {'precision': 0.7748771670639851, 'recall': 0.6267285861713106, 'f1-score': 0.6591366685158973, 'support': 1210}, 'weighted avg': {'precision': 0.8462098989855824, 'recall': 0.8652892561983471, 'f1-score': 0.8409715758234779, 'support': 1210}}",0.5404457449913025
300,30,P623,"(25877, 25)","(684, 25)","{0.0: 18222, 1.0: 7655}",{0.0: 684},0.8634361028671265,0.8615230321884155,0.8634361028671265,0.8634361028671265,"[[588  93]
 [  0   0]]","{'0': {'precision': 1.0, 'recall': 0.8634361233480177, 'f1-score': 0.9267139479905437, 'support': 681}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.8634361233480177, 'macro avg': {'precision': 0.5, 'recall': 0.43171806167400884, 'f1-score': 0.46335697399527187, 'support': 681}, 'weighted avg': {'precision': 1.0, 'recall': 0.8634361233480177, 'f1-score': 0.9267139479905437, 'support': 681}}",0.15942873060703278
300,30,P645,"(25488, 25)","(1073, 25)","{0.0: 17833, 1.0: 7655}",{0.0: 1073},0.782243013381958,0.7858455777168274,0.782243013381958,0.782243013381958,"[[837 233]
 [  0   0]]","{'0': {'precision': 1.0, 'recall': 0.7822429906542057, 'f1-score': 0.8778185631882538, 'support': 1070}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.7822429906542057, 'macro avg': {'precision': 0.5, 'recall': 0.39112149532710283, 'f1-score': 0.4389092815941269, 'support': 1070}, 'weighted avg': {'precision': 1.0, 'recall': 0.7822429906542057, 'f1-score': 0.8778185631882538, 'support': 1070}}",0.25800174474716187
300,30,P812,"(21735, 25)","(4826, 25)","{0.0: 14809, 1.0: 6926}","{0.0: 4097, 1.0: 729}",0.7932822108268738,0.7887943387031555,0.7932822108268738,0.7932822108268738,"[[3201  893]
 [ 104  625]]","{'0': {'precision': 0.9685325264750378, 'recall': 0.7818759159745969, 'f1-score': 0.8652520610893363, 'support': 4094}, '1': {'precision': 0.41172595520421607, 'recall': 0.8573388203017832, 'f1-score': 0.5562972852692479, 'support': 729}, 'accuracy': 0.7932821895086046, 'macro avg': {'precision': 0.6901292408396269, 'recall': 0.8196073681381901, 'f1-score': 0.7107746731792921, 'support': 4823}, 'weighted avg': {'precision': 0.8843708033864148, 'recall': 0.7932821895086046, 'f1-score': 0.818553319315991, 'support': 4823}}",0.32621055841445923
300,30,P876,"(25756, 25)","(805, 25)","{0.0: 18101, 1.0: 7655}",{0.0: 805},0.866583526134491,0.8576074242591858,0.866583526134491,0.866583526134491,"[[695 107]
 [  0   0]]","{'0': {'precision': 1.0, 'recall': 0.8665835411471322, 'f1-score': 0.9285237140948563, 'support': 802}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.8665835411471322, 'macro avg': {'precision': 0.5, 'recall': 0.4332917705735661, 'f1-score': 0.4642618570474282, 'support': 802}, 'weighted avg': {'precision': 1.0, 'recall': 0.8665835411471322, 'f1-score': 0.9285237140948563, 'support': 802}}",0.18044684827327728
300,30,P940,"(23330, 25)","(3231, 25)","{0.0: 15675, 1.0: 7655}",{0.0: 3231},0.9854398965835571,0.9840248823165894,0.9854398965835571,0.9854398965835571,"[[3181   47]
 [   0    0]]","{'0': {'precision': 1.0, 'recall': 0.9854399008674102, 'f1-score': 0.9926665626462787, 'support': 3228}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.9854399008674102, 'macro avg': {'precision': 0.5, 'recall': 0.4927199504337051, 'f1-score': 0.49633328132313936, 'support': 3228}, 'weighted avg': {'precision': 1.0, 'recall': 0.9854399008674102, 'f1-score': 0.9926665626462787, 'support': 3228}}",0.13478964567184448
400,40,G04,"(18925, 25)","(725, 25)","{0.0: 13689, 1.0: 5236}","{1.0: 519, 0.0: 206}",0.2548476457595825,0.2395833134651184,0.2548476457595825,0.2548476457595825,"[[ 82 121]
 [417 102]]","{'0': {'precision': 0.16432865731462926, 'recall': 0.4039408866995074, 'f1-score': 0.2336182336182336, 'support': 203}, '1': {'precision': 0.45739910313901344, 'recall': 0.19653179190751446, 'f1-score': 0.2749326145552561, 'support': 519}, 'accuracy': 0.2548476454293629, 'macro avg': {'precision': 0.3108638802268213, 'recall': 0.3002363393035109, 'f1-score': 0.25427542408674486, 'support': 722}, 'weighted avg': {'precision': 0.3749984099224622, 'recall': 0.2548476454293629, 'f1-score': 0.26331652130010985, 'support': 722}}",2.1871750354766846
400,40,G05,"(19185, 25)","(465, 25)","{0.0: 13430, 1.0: 5755}",{0.0: 465},0.939393937587738,0.9034597873687744,0.939393937587738,0.939393937587738,"[[434  28]
 [  0   0]]","{'0': {'precision': 1.0, 'recall': 0.9393939393939394, 'f1-score': 0.96875, 'support': 462}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.9393939393939394, 'macro avg': {'precision': 0.5, 'recall': 0.4696969696969697, 'f1-score': 0.484375, 'support': 462}, 'weighted avg': {'precision': 1.0, 'recall': 0.9393939393939394, 'f1-score': 0.96875, 'support': 462}}",0.1497384011745453
400,40,G06,"(19193, 25)","(457, 25)","{0.0: 13590, 1.0: 5603}","{0.0: 305, 1.0: 152}",0.7753304243087769,0.6874999403953552,0.7753304243087769,0.7753304243087769,"[[247  55]
 [ 47 105]]","{'0': {'precision': 0.8401360544217688, 'recall': 0.8178807947019867, 'f1-score': 0.8288590604026845, 'support': 302}, '1': {'precision': 0.65625, 'recall': 0.6907894736842105, 'f1-score': 0.673076923076923, 'support': 152}, 'accuracy': 0.775330396475771, 'macro avg': {'precision': 0.7481930272108843, 'recall': 0.7543351341930986, 'f1-score': 0.7509679917398038, 'support': 454}, 'weighted avg': {'precision': 0.7785706793730708, 'recall': 0.775330396475771, 'f1-score': 0.7767029263200508, 'support': 454}}",0.5472200512886047
400,40,G07,"(18855, 25)","(795, 25)","{0.0: 13762, 1.0: 5093}","{1.0: 662, 0.0: 133}",0.881313145160675,0.838942289352417,0.881313145160675,0.881313145160675,"[[ 40  90]
 [  4 658]]","{'0': {'precision': 0.9090909090909091, 'recall': 0.3076923076923077, 'f1-score': 0.45977011494252884, 'support': 130}, '1': {'precision': 0.8796791443850267, 'recall': 0.9939577039274925, 'f1-score': 0.9333333333333333, 'support': 662}, 'accuracy': 0.8813131313131313, 'macro avg': {'precision': 0.8943850267379678, 'recall': 0.6508250058099001, 'f1-score': 0.6965517241379311, 'support': 792}, 'weighted avg': {'precision': 0.8845068330362448, 'recall': 0.8813131313131313, 'f1-score': 0.8556019969813073, 'support': 792}}",0.5039693117141724
400,40,G08,"(16730, 25)","(2920, 25)","{0.0: 13673, 1.0: 3057}","{1.0: 2698, 0.0: 222}",0.16695234179496765,0.17335301637649536,0.16695234179496765,0.16695234179496765,"[[ 206   13]
 [2417  281]]","{'0': {'precision': 0.07853602744948532, 'recall': 0.9406392694063926, 'f1-score': 0.14496833216045035, 'support': 219}, '1': {'precision': 0.95578231292517, 'recall': 0.10415122312824314, 'f1-score': 0.18783422459893045, 'support': 2698}, 'accuracy': 0.16695234830305108, 'macro avg': {'precision': 0.5171591701873277, 'recall': 0.5223952462673179, 'f1-score': 0.1664012783796904, 'support': 2917}, 'weighted avg': {'precision': 0.88992117596282, 'recall': 0.16695234830305108, 'f1-score': 0.18461597624650428, 'support': 2917}}",1.852802038192749
