test_patient,train_shape,test_shape,train_lable_count,test_label_count,accuracy,f1_score,precision,recall,conf_matrix,clf_report,loss
G04,"(18925, 25)","(725, 25)","{0.0: 13689, 1.0: 5236}","{1.0: 519, 0.0: 206}",0.5180055499076843,0.4935530424118042,0.5180055499076843,0.5180055499076843,"[[ 22 181]
 [167 352]]","{'0': {'precision': 0.1164021164021164, 'recall': 0.10837438423645321, 'f1-score': 0.11224489795918369, 'support': 203}, '1': {'precision': 0.6604127579737336, 'recall': 0.6782273603082851, 'f1-score': 0.6692015209125475, 'support': 519}, 'accuracy': 0.518005540166205, 'macro avg': {'precision': 0.388407437187925, 'recall': 0.39330087227236915, 'f1-score': 0.3907232094358656, 'support': 722}, 'weighted avg': {'precision': 0.5074568573656473, 'recall': 0.518005540166205, 'f1-score': 0.5126056837109785, 'support': 722}}",1.0797041654586792
G05,"(19185, 25)","(465, 25)","{0.0: 13430, 1.0: 5755}",{0.0: 465},0.677489161491394,0.6614081859588623,0.677489161491394,0.677489161491394,"[[313 149]
 [  0   0]]","{'0': {'precision': 1.0, 'recall': 0.6774891774891775, 'f1-score': 0.8077419354838709, 'support': 462}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.6774891774891775, 'macro avg': {'precision': 0.5, 'recall': 0.33874458874458874, 'f1-score': 0.4038709677419354, 'support': 462}, 'weighted avg': {'precision': 1.0, 'recall': 0.6774891774891775, 'f1-score': 0.8077419354838709, 'support': 462}}",0.3520195484161377
G06,"(19193, 25)","(457, 25)","{0.0: 13590, 1.0: 5603}","{0.0: 305, 1.0: 152}",0.8017621040344238,0.7999441027641296,0.8017621040344238,0.8017621040344238,"[[239  63]
 [ 27 125]]","{'0': {'precision': 0.8984962406015038, 'recall': 0.7913907284768212, 'f1-score': 0.8415492957746479, 'support': 302}, '1': {'precision': 0.6648936170212766, 'recall': 0.8223684210526315, 'f1-score': 0.7352941176470588, 'support': 152}, 'accuracy': 0.801762114537445, 'macro avg': {'precision': 0.7816949288113901, 'recall': 0.8068795747647264, 'f1-score': 0.7884217067108533, 'support': 454}, 'weighted avg': {'precision': 0.8202856705922648, 'recall': 0.801762114537445, 'f1-score': 0.805974874903737, 'support': 454}}",0.46854591369628906
G07,"(18855, 25)","(795, 25)","{0.0: 13762, 1.0: 5093}","{1.0: 662, 0.0: 133}",0.8800504803657532,0.7827380895614624,0.8800504803657532,0.8800504803657532,"[[ 40  90]
 [  5 657]]","{'0': {'precision': 0.8888888888888888, 'recall': 0.3076923076923077, 'f1-score': 0.4571428571428572, 'support': 130}, '1': {'precision': 0.8795180722891566, 'recall': 0.9924471299093656, 'f1-score': 0.9325762952448544, 'support': 662}, 'accuracy': 0.8800505050505051, 'macro avg': {'precision': 0.8842034805890227, 'recall': 0.6500697188008366, 'f1-score': 0.6948595761938559, 'support': 792}, 'weighted avg': {'precision': 0.8810562113774965, 'recall': 0.8800505050505051, 'f1-score': 0.8545379783846782, 'support': 792}}",0.5328408479690552
G08,"(16730, 25)","(2920, 25)","{0.0: 13673, 1.0: 3057}","{1.0: 2698, 0.0: 222}",0.2235173135995865,0.22855007648468018,0.2235173135995865,0.2235173135995865,"[[ 200   19]
 [2246  452]]","{'0': {'precision': 0.08176614881439084, 'recall': 0.91324200913242, 'f1-score': 0.150093808630394, 'support': 219}, '1': {'precision': 0.9596602972399151, 'recall': 0.167531504818384, 'f1-score': 0.2852634900599558, 'support': 2698}, 'accuracy': 0.2235173123071649, 'macro avg': {'precision': 0.520713223027153, 'recall': 0.5403867569754021, 'f1-score': 0.21767864934517492, 'support': 2917}, 'weighted avg': {'precision': 0.8937505205840394, 'recall': 0.2235173123071649, 'f1-score': 0.275115337768878, 'support': 2917}}",1.175918698310852
G09,"(19058, 25)","(592, 25)","{0.0: 13303, 1.0: 5755}",{0.0: 592},0.8404074907302856,0.8282873034477234,0.8404074907302856,0.8404074907302856,"[[495  94]
 [  0   0]]","{'0': {'precision': 1.0, 'recall': 0.8404074702886248, 'f1-score': 0.9132841328413285, 'support': 589}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.8404074702886248, 'macro avg': {'precision': 0.5, 'recall': 0.4202037351443124, 'f1-score': 0.45664206642066424, 'support': 589}, 'weighted avg': {'precision': 1.0, 'recall': 0.8404074702886248, 'f1-score': 0.9132841328413284, 'support': 589}}",0.1827171891927719
G11,"(19274, 25)","(376, 25)","{0.0: 13590, 1.0: 5684}","{0.0: 305, 1.0: 71}",0.8230562806129456,0.8261662125587463,0.8230562806129456,0.8230562806129456,"[[236  66]
 [  0  71]]","{'0': {'precision': 1.0, 'recall': 0.7814569536423841, 'f1-score': 0.8773234200743495, 'support': 302}, '1': {'precision': 0.5182481751824818, 'recall': 1.0, 'f1-score': 0.6826923076923078, 'support': 71}, 'accuracy': 0.8230563002680965, 'macro avg': {'precision': 0.7591240875912408, 'recall': 0.890728476821192, 'f1-score': 0.7800078638833287, 'support': 373}, 'weighted avg': {'precision': 0.908299250503904, 'recall': 0.8230563002680965, 'f1-score': 0.8402756748220038, 'support': 373}}",0.28492462635040283
P231,"(18900, 25)","(750, 25)","{0.0: 13145, 1.0: 5755}",{0.0: 750},0.9156626462936401,0.9161798357963562,0.9156626462936401,0.9156626462936401,"[[684  63]
 [  0   0]]","{'0': {'precision': 1.0, 'recall': 0.9156626506024096, 'f1-score': 0.9559748427672956, 'support': 747}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.9156626506024096, 'macro avg': {'precision': 0.5, 'recall': 0.4578313253012048, 'f1-score': 0.4779874213836478, 'support': 747}, 'weighted avg': {'precision': 1.0, 'recall': 0.9156626506024096, 'f1-score': 0.9559748427672956, 'support': 747}}",0.09779059886932373
P351,"(16859, 25)","(2791, 25)","{0.0: 11104, 1.0: 5755}",{0.0: 2791},0.7876614332199097,0.7893748879432678,0.7876614332199097,0.7876614332199097,"[[2196  592]
 [   0    0]]","{'0': {'precision': 1.0, 'recall': 0.787661406025825, 'f1-score': 0.8812199036918139, 'support': 2788}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.787661406025825, 'macro avg': {'precision': 0.5, 'recall': 0.3938307030129125, 'f1-score': 0.44060995184590696, 'support': 2788}, 'weighted avg': {'precision': 1.0, 'recall': 0.787661406025825, 'f1-score': 0.8812199036918139, 'support': 2788}}",0.2514582872390747
P379,"(18612, 25)","(1038, 25)","{0.0: 13180, 1.0: 5432}","{0.0: 715, 1.0: 323}",0.7893719673156738,0.7369002103805542,0.7893719673156738,0.7893719673156738,"[[552 160]
 [ 58 265]]","{'0': {'precision': 0.9049180327868852, 'recall': 0.7752808988764045, 'f1-score': 0.8350983358547655, 'support': 712}, '1': {'precision': 0.6235294117647059, 'recall': 0.8204334365325078, 'f1-score': 0.7085561497326203, 'support': 323}, 'accuracy': 0.7893719806763285, 'macro avg': {'precision': 0.7642237222757955, 'recall': 0.7978571677044561, 'f1-score': 0.7718272427936929, 'support': 1035}, 'weighted avg': {'precision': 0.8171030331828621, 'recall': 0.7893719806763285, 'f1-score': 0.7956073927461154, 'support': 1035}}",0.6207698583602905
