test_patient,train_shape,test_shape,train_lable_count,test_label_count,accuracy,f1_score,precision,recall,conf_matrix,clf_report,loss
G04,"(18925, 25)","(725, 25)","{0.0: 13689, 1.0: 5236}","{1.0: 519, 0.0: 206}",0.4750692546367645,0.4641450345516205,0.4750692546367645,0.4750692546367645,"[[ 83 120]
 [259 260]]","{'0': {'precision': 0.24269005847953215, 'recall': 0.4088669950738916, 'f1-score': 0.30458715596330277, 'support': 203}, '1': {'precision': 0.6842105263157895, 'recall': 0.5009633911368016, 'f1-score': 0.5784204671857619, 'support': 519}, 'accuracy': 0.47506925207756234, 'macro avg': {'precision': 0.46345029239766083, 'recall': 0.45491519310534656, 'f1-score': 0.44150381157453233, 'support': 722}, 'weighted avg': {'precision': 0.560071114998947, 'recall': 0.47506925207756234, 'f1-score': 0.5014285528115803, 'support': 722}}",1.1601037979125977
G05,"(19185, 25)","(465, 25)","{0.0: 13430, 1.0: 5755}",{0.0: 465},0.6796537041664124,0.6633613109588623,0.6796537041664124,0.6796537041664124,"[[314 148]
 [  0   0]]","{'0': {'precision': 1.0, 'recall': 0.6796536796536796, 'f1-score': 0.8092783505154639, 'support': 462}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.6796536796536796, 'macro avg': {'precision': 0.5, 'recall': 0.3398268398268398, 'f1-score': 0.40463917525773196, 'support': 462}, 'weighted avg': {'precision': 1.0, 'recall': 0.6796536796536796, 'f1-score': 0.8092783505154639, 'support': 462}}",0.33399397134780884
G06,"(19193, 25)","(457, 25)","{0.0: 13590, 1.0: 5603}","{0.0: 305, 1.0: 152}",0.8370044231414795,0.8311941027641296,0.8370044231414795,0.8370044231414795,"[[245  57]
 [ 17 135]]","{'0': {'precision': 0.9351145038167938, 'recall': 0.8112582781456954, 'f1-score': 0.8687943262411348, 'support': 302}, '1': {'precision': 0.703125, 'recall': 0.8881578947368421, 'f1-score': 0.7848837209302326, 'support': 152}, 'accuracy': 0.8370044052863436, 'macro avg': {'precision': 0.8191197519083969, 'recall': 0.8497080864412687, 'f1-score': 0.8268390235856837, 'support': 454}, 'weighted avg': {'precision': 0.857444009146854, 'recall': 0.8370044052863436, 'f1-score': 0.8407009077229474, 'support': 454}}",0.34879061579704285
G07,"(18855, 25)","(795, 25)","{0.0: 13762, 1.0: 5093}","{1.0: 662, 0.0: 133}",0.877525269985199,0.7756696343421936,0.877525269985199,0.877525269985199,"[[ 44  86]
 [ 11 651]]","{'0': {'precision': 0.8, 'recall': 0.3384615384615385, 'f1-score': 0.47567567567567576, 'support': 130}, '1': {'precision': 0.8833107191316146, 'recall': 0.9833836858006042, 'f1-score': 0.9306647605432452, 'support': 662}, 'accuracy': 0.8775252525252525, 'macro avg': {'precision': 0.8416553595658074, 'recall': 0.6609226121310714, 'f1-score': 0.7031702181094605, 'support': 792}, 'weighted avg': {'precision': 0.8696359798802131, 'recall': 0.8775252525252525, 'f1-score': 0.8559822087341744, 'support': 792}}",0.5768013596534729
G08,"(16730, 25)","(2920, 25)","{0.0: 13673, 1.0: 3057}","{1.0: 2698, 0.0: 222}",0.09324648976325989,0.10010959953069687,0.09324648976325989,0.09324648976325989,"[[ 209   10]
 [2635   63]]","{'0': {'precision': 0.07348804500703235, 'recall': 0.954337899543379, 'f1-score': 0.1364675155076722, 'support': 219}, '1': {'precision': 0.863013698630137, 'recall': 0.02335063009636768, 'f1-score': 0.04547094911584265, 'support': 2698}, 'accuracy': 0.09324648611587247, 'macro avg': {'precision': 0.46825087181858466, 'recall': 0.48884426481987336, 'f1-score': 0.09096923231175742, 'support': 2917}, 'weighted avg': {'precision': 0.8037383753036166, 'recall': 0.09324648611587247, 'f1-score': 0.05230271052818776, 'support': 2917}}",1.2929987907409668
G09,"(19058, 25)","(592, 25)","{0.0: 13303, 1.0: 5755}",{0.0: 592},0.9083191752433777,0.9011363983154297,0.9083191752433777,0.9083191752433777,"[[535  54]
 [  0   0]]","{'0': {'precision': 1.0, 'recall': 0.9083191850594228, 'f1-score': 0.9519572953736655, 'support': 589}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.9083191850594228, 'macro avg': {'precision': 0.5, 'recall': 0.4541595925297114, 'f1-score': 0.47597864768683273, 'support': 589}, 'weighted avg': {'precision': 1.0, 'recall': 0.9083191850594228, 'f1-score': 0.9519572953736655, 'support': 589}}",0.13826784491539001
G11,"(19274, 25)","(376, 25)","{0.0: 13590, 1.0: 5684}","{0.0: 305, 1.0: 71}",0.8418230414390564,0.8443953990936279,0.8418230414390564,0.8418230414390564,"[[243  59]
 [  0  71]]","{'0': {'precision': 1.0, 'recall': 0.804635761589404, 'f1-score': 0.8917431192660551, 'support': 302}, '1': {'precision': 0.5461538461538461, 'recall': 1.0, 'f1-score': 0.7064676616915423, 'support': 71}, 'accuracy': 0.8418230563002681, 'macro avg': {'precision': 0.773076923076923, 'recall': 0.902317880794702, 'f1-score': 0.7991053904787987, 'support': 373}, 'weighted avg': {'precision': 0.9136110538255311, 'recall': 0.8418230563002681, 'f1-score': 0.8564762091111211, 'support': 373}}",0.24957668781280518
P231,"(18900, 25)","(750, 25)","{0.0: 13145, 1.0: 5755}",{0.0: 750},0.925033450126648,0.9252943992614746,0.925033450126648,0.925033450126648,"[[691  56]
 [  0   0]]","{'0': {'precision': 1.0, 'recall': 0.9250334672021419, 'f1-score': 0.96105702364395, 'support': 747}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.9250334672021419, 'macro avg': {'precision': 0.5, 'recall': 0.46251673360107093, 'f1-score': 0.480528511821975, 'support': 747}, 'weighted avg': {'precision': 1.0, 'recall': 0.9250334672021419, 'f1-score': 0.96105702364395, 'support': 747}}",0.09053003042936325
P351,"(16859, 25)","(2791, 25)","{0.0: 11104, 1.0: 5755}",{0.0: 2791},0.8088235259056091,0.8104259967803955,0.8088235259056091,0.8088235259056091,"[[2255  533]
 [   0    0]]","{'0': {'precision': 1.0, 'recall': 0.8088235294117647, 'f1-score': 0.8943089430894309, 'support': 2788}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.8088235294117647, 'macro avg': {'precision': 0.5, 'recall': 0.40441176470588236, 'f1-score': 0.44715447154471544, 'support': 2788}, 'weighted avg': {'precision': 1.0, 'recall': 0.8088235294117647, 'f1-score': 0.894308943089431, 'support': 2788}}",0.2446233034133911
P379,"(18612, 25)","(1038, 25)","{0.0: 13180, 1.0: 5432}","{0.0: 715, 1.0: 323}",0.7980676293373108,0.7447127103805542,0.7980676293373108,0.7980676293373108,"[[562 150]
 [ 59 264]]","{'0': {'precision': 0.9049919484702094, 'recall': 0.7893258426966292, 'f1-score': 0.8432108027006753, 'support': 712}, '1': {'precision': 0.6376811594202898, 'recall': 0.8173374613003096, 'f1-score': 0.7164179104477613, 'support': 323}, 'accuracy': 0.7980676328502415, 'macro avg': {'precision': 0.7713365539452496, 'recall': 0.8033316519984695, 'f1-score': 0.7798143565742183, 'support': 1035}, 'weighted avg': {'precision': 0.8215703205831331, 'recall': 0.7980676328502415, 'f1-score': 0.8036416199009735, 'support': 1035}}",0.5101783275604248
