,test_patient,train_shape,test_shape,train_lable_count,test_label_count,sensor_pos,sensor_type,features,model_name,duration,accuracy,f1_score,precision,recall,conf_matrix,clf_report,loss
1303,G06,"(19193, 25)","(457, 25)","{0.0: 13590, 1.0: 5603}","{0.0: 305, 1.0: 152}",shank,gyro,freq,K-NearestNeighbors_DynamicTimeWrapping,0:00:20.373485,0.7592997811816192,0.7413741125317279,0.7535644079033182,0.7592997811816192,"[[279  26]
 [ 84  68]]","{'0.0': {'precision': 0.768595041322314, 'recall': 0.9147540983606557, 'f1-score': 0.8353293413173651, 'support': 305}, '1.0': {'precision': 0.723404255319149, 'recall': 0.4473684210526316, 'f1-score': 0.5528455284552847, 'support': 152}, 'accuracy': 0.7592997811816192, 'macro avg': {'precision': 0.7459996483207315, 'recall': 0.6810612597066437, 'f1-score': 0.6940874348863248, 'support': 457}, 'weighted avg': {'precision': 0.7535644079033182, 'recall': 0.7592997811816192, 'f1-score': 0.7413741125317279, 'support': 457}}",
1304,G07,"(18855, 25)","(795, 25)","{0.0: 13762, 1.0: 5093}","{1.0: 662, 0.0: 133}",shank,gyro,freq,LSTM,0:04:42.327488,0.5568181872367859,0.5570833086967468,0.5568181872367859,0.5568181872367859,"[[ 97  33]
 [318 344]]","{'0': {'precision': 0.23373493975903614, 'recall': 0.7461538461538462, 'f1-score': 0.35596330275229354, 'support': 130}, '1': {'precision': 0.9124668435013262, 'recall': 0.5196374622356495, 'f1-score': 0.6621751684311838, 'support': 662}, 'accuracy': 0.5568181818181818, 'macro avg': {'precision': 0.5731008916301812, 'recall': 0.6328956541947479, 'f1-score': 0.5090692355917387, 'support': 792}, 'weighted avg': {'precision': 0.8010588289981725, 'recall': 0.5568181818181818, 'f1-score': 0.61191311977177, 'support': 792}}",1.032887578010559
1306,G07,"(18855, 25)","(795, 25)","{0.0: 13762, 1.0: 5093}","{1.0: 662, 0.0: 133}",shank,gyro,freq,SupportVectorsMachine,0:00:34.356457,0.7308176100628929,0.7574556735196439,0.8071287787012044,0.7308176100628929,"[[ 79  54]
 [160 502]]","{'0.0': {'precision': 0.3305439330543933, 'recall': 0.5939849624060151, 'f1-score': 0.42473118279569894, 'support': 133}, '1.0': {'precision': 0.9028776978417267, 'recall': 0.7583081570996979, 'f1-score': 0.8243021346469622, 'support': 662}, 'accuracy': 0.730817610062893, 'macro avg': {'precision': 0.61671081544806, 'recall': 0.6761465597528564, 'f1-score': 0.6245166587213306, 'support': 795}, 'weighted avg': {'precision': 0.8071287787012044, 'recall': 0.730817610062893, 'f1-score': 0.7574556735196439, 'support': 795}}",
1307,G07,"(18855, 25)","(795, 25)","{0.0: 13762, 1.0: 5093}","{1.0: 662, 0.0: 133}",shank,gyro,freq,RandomForest,0:00:28.851000,0.8364779874213837,0.8465052806455441,0.8644701738546464,0.8364779874213837,"[[ 94  39]
 [ 91 571]]","{'0.0': {'precision': 0.5081081081081081, 'recall': 0.706766917293233, 'f1-score': 0.5911949685534592, 'support': 133}, '1.0': {'precision': 0.9360655737704918, 'recall': 0.8625377643504532, 'f1-score': 0.8977987421383647, 'support': 662}, 'accuracy': 0.8364779874213837, 'macro avg': {'precision': 0.7220868409393, 'recall': 0.7846523408218431, 'f1-score': 0.7444968553459119, 'support': 795}, 'weighted avg': {'precision': 0.8644701738546464, 'recall': 0.8364779874213837, 'f1-score': 0.8465052806455441, 'support': 795}}",
1308,G07,"(18855, 25)","(795, 25)","{0.0: 13762, 1.0: 5093}","{1.0: 662, 0.0: 133}",shank,gyro,freq,DecisionTree,0:00:00.374523,0.8289308176100629,0.8377924002037269,0.8517938729965511,0.8289308176100629,"[[ 86  47]
 [ 89 573]]","{'0.0': {'precision': 0.49142857142857144, 'recall': 0.6466165413533834, 'f1-score': 0.5584415584415584, 'support': 133}, '1.0': {'precision': 0.9241935483870968, 'recall': 0.8655589123867069, 'f1-score': 0.8939157566302652, 'support': 662}, 'accuracy': 0.8289308176100629, 'macro avg': {'precision': 0.7078110599078341, 'recall': 0.7560877268700452, 'f1-score': 0.7261786575359118, 'support': 795}, 'weighted avg': {'precision': 0.8517938729965511, 'recall': 0.8289308176100629, 'f1-score': 0.8377924002037269, 'support': 795}}",
1309,G07,"(18855, 25)","(795, 25)","{0.0: 13762, 1.0: 5093}","{1.0: 662, 0.0: 133}",shank,gyro,freq,GaussianNaiveBayes,0:00:00.020303,0.8704402515723271,0.8532785694595397,0.8568709607460421,0.8704402515723271,"[[ 50  83]
 [ 20 642]]","{'0.0': {'precision': 0.7142857142857143, 'recall': 0.37593984962406013, 'f1-score': 0.49261083743842365, 'support': 133}, '1.0': {'precision': 0.8855172413793103, 'recall': 0.9697885196374623, 'f1-score': 0.9257390050468637, 'support': 662}, 'accuracy': 0.8704402515723271, 'macro avg': {'precision': 0.7999014778325123, 'recall': 0.6728641846307613, 'f1-score': 0.7091749212426437, 'support': 795}, 'weighted avg': {'precision': 0.8568709607460421, 'recall': 0.8704402515723271, 'f1-score': 0.8532785694595397, 'support': 795}}",
1310,G07,"(18855, 25)","(795, 25)","{0.0: 13762, 1.0: 5093}","{1.0: 662, 0.0: 133}",shank,gyro,freq,K-NearestNeighbors,0:00:00.089695,0.7610062893081762,0.7855969644991944,0.8393065869997424,0.7610062893081762,"[[ 95  38]
 [152 510]]","{'0.0': {'precision': 0.38461538461538464, 'recall': 0.7142857142857143, 'f1-score': 0.5, 'support': 133}, '1.0': {'precision': 0.9306569343065694, 'recall': 0.770392749244713, 'f1-score': 0.8429752066115703, 'support': 662}, 'accuracy': 0.7610062893081762, 'macro avg': {'precision': 0.657636159460977, 'recall': 0.7423392317652137, 'f1-score': 0.6714876033057852, 'support': 795}, 'weighted avg': {'precision': 0.8393065869997424, 'recall': 0.7610062893081762, 'f1-score': 0.7855969644991944, 'support': 795}}",
1311,G07,"(18855, 25)","(795, 25)","{0.0: 13762, 1.0: 5093}","{1.0: 662, 0.0: 133}",shank,gyro,freq,K-NearestNeighbors_DynamicTimeWrapping,0:00:35.431455,0.7081761006289308,0.742145658761968,0.8204088432284375,0.7081761006289308,"[[ 92  41]
 [191 471]]","{'0.0': {'precision': 0.3250883392226148, 'recall': 0.6917293233082706, 'f1-score': 0.44230769230769235, 'support': 133}, '1.0': {'precision': 0.919921875, 'recall': 0.7114803625377644, 'f1-score': 0.8023850085178875, 'support': 662}, 'accuracy': 0.7081761006289308, 'macro avg': {'precision': 0.6225051071113075, 'recall': 0.7016048429230175, 'f1-score': 0.62234635041279, 'support': 795}, 'weighted avg': {'precision': 0.8204088432284375, 'recall': 0.7081761006289308, 'f1-score': 0.742145658761968, 'support': 795}}",
1312,G08,"(16730, 25)","(2920, 25)","{0.0: 13673, 1.0: 3057}","{1.0: 2698, 0.0: 222}",shank,gyro,freq,LSTM,0:04:16.270462,0.252314031124115,0.25917118787765503,0.252314031124115,0.252314031124115,"[[ 189   30]
 [2151  547]]","{'0': {'precision': 0.08076923076923077, 'recall': 0.863013698630137, 'f1-score': 0.1477139507620164, 'support': 219}, '1': {'precision': 0.9480069324090121, 'recall': 0.20274277242401778, 'f1-score': 0.33404580152671753, 'support': 2698}, 'accuracy': 0.25231402125471375, 'macro avg': {'precision': 0.5143880815891214, 'recall': 0.5328782355270774, 'f1-score': 0.24087987614436696, 'support': 2917}, 'weighted avg': {'precision': 0.882897211236879, 'recall': 0.25231402125471375, 'f1-score': 0.32005654019059493, 'support': 2917}}",1.863747239112854
1314,G08,"(16730, 25)","(2920, 25)","{0.0: 13673, 1.0: 3057}","{1.0: 2698, 0.0: 222}",shank,gyro,freq,SupportVectorsMachine,0:00:18.221585,0.8777397260273972,0.8875812047156093,0.8997181311771717,0.8777397260273972,"[[  92  130]
 [ 227 2471]]","{'0.0': {'precision': 0.2884012539184953, 'recall': 0.4144144144144144, 'f1-score': 0.3401109057301294, 'support': 222}, '1.0': {'precision': 0.9500192233756247, 'recall': 0.9158636026686434, 'f1-score': 0.9326287978863936, 'support': 2698}, 'accuracy': 0.8777397260273972, 'macro avg': {'precision': 0.61921023864706, 'recall': 0.665139008541529, 'f1-score': 0.6363698518082616, 'support': 2920}, 'weighted avg': {'precision': 0.8997181311771717, 'recall': 0.8777397260273972, 'f1-score': 0.8875812047156093, 'support': 2920}}",
