,test_patient,train_shape,test_shape,train_lable_count,test_label_count,sensor_pos,sensor_type,features,model_name,duration,accuracy,f1_score,precision,recall,conf_matrix,clf_report,loss
0,G04,"(18925, 43)","(725, 43)","{0.0: 13689, 1.0: 5236}","{1.0: 519, 0.0: 206}",shank,acc,stat,LSTM,0:05:23.779652,0.2811634242534637,0.29483696818351746,0.2811634242534637,0.2811634242534637,"[[203   0]
 [519   0]]","{'0': {'precision': 0.28116343490304707, 'recall': 1.0, 'f1-score': 0.4389189189189189, 'support': 203}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 519}, 'accuracy': 0.28116343490304707, 'macro avg': {'precision': 0.14058171745152354, 'recall': 0.5, 'f1-score': 0.21945945945945944, 'support': 722}, 'weighted avg': {'precision': 0.07905287712648, 'recall': 0.28116343490304707, 'f1-score': 0.12340795088717525, 'support': 722}}",1.1975892782211304
2,G04,"(18925, 43)","(725, 43)","{0.0: 13689, 1.0: 5236}","{1.0: 519, 0.0: 206}",shank,acc,stat,SupportVectorsMachine,0:01:02.189910,0.2813793103448276,0.29014002347743845,0.4068165435443879,0.2813793103448276,"[[ 91 115]
 [406 113]]","{'0.0': {'precision': 0.18309859154929578, 'recall': 0.441747572815534, 'f1-score': 0.25889046941678523, 'support': 206}, '1.0': {'precision': 0.4956140350877193, 'recall': 0.21772639691714837, 'f1-score': 0.30254350736278446, 'support': 519}, 'accuracy': 0.2813793103448276, 'macro avg': {'precision': 0.3393563133185075, 'recall': 0.3297369848663412, 'f1-score': 0.28071698838978487, 'support': 725}, 'weighted avg': {'precision': 0.4068165435443879, 'recall': 0.2813793103448276, 'f1-score': 0.29014002347743845, 'support': 725}}",
3,G04,"(18925, 43)","(725, 43)","{0.0: 13689, 1.0: 5236}","{1.0: 519, 0.0: 206}",shank,acc,stat,RandomForest,0:00:32.333752,0.2882758620689655,0.13437574316290132,0.7969318941637215,0.2882758620689655,"[[206   0]
 [516   3]]","{'0.0': {'precision': 0.2853185595567867, 'recall': 1.0, 'f1-score': 0.44396551724137934, 'support': 206}, '1.0': {'precision': 1.0, 'recall': 0.005780346820809248, 'f1-score': 0.011494252873563216, 'support': 519}, 'accuracy': 0.2882758620689655, 'macro avg': {'precision': 0.6426592797783933, 'recall': 0.5028901734104047, 'f1-score': 0.22772988505747127, 'support': 725}, 'weighted avg': {'precision': 0.7969318941637215, 'recall': 0.2882758620689655, 'f1-score': 0.13437574316290132, 'support': 725}}",
4,G04,"(18925, 43)","(725, 43)","{0.0: 13689, 1.0: 5236}","{1.0: 519, 0.0: 206}",shank,acc,stat,DecisionTree,0:00:00.508817,0.3048275862068965,0.16801700028254846,0.7983020883924234,0.3048275862068965,"[[206   0]
 [504  15]]","{'0.0': {'precision': 0.29014084507042254, 'recall': 1.0, 'f1-score': 0.4497816593886463, 'support': 206}, '1.0': {'precision': 1.0, 'recall': 0.028901734104046242, 'f1-score': 0.056179775280898875, 'support': 519}, 'accuracy': 0.30482758620689654, 'macro avg': {'precision': 0.6450704225352113, 'recall': 0.5144508670520231, 'f1-score': 0.25298071733477256, 'support': 725}, 'weighted avg': {'precision': 0.7983020883924234, 'recall': 0.30482758620689654, 'f1-score': 0.16801700028254846, 'support': 725}}",
5,G04,"(18925, 43)","(725, 43)","{0.0: 13689, 1.0: 5236}","{1.0: 519, 0.0: 206}",shank,acc,stat,GaussianNaiveBayes,0:00:00.026375,0.31862068965517243,0.2688552846847289,0.5123322981923926,0.31862068965517243,"[[162  44]
 [450  69]]","{'0.0': {'precision': 0.2647058823529412, 'recall': 0.7864077669902912, 'f1-score': 0.3960880195599022, 'support': 206}, '1.0': {'precision': 0.6106194690265486, 'recall': 0.1329479768786127, 'f1-score': 0.21835443037974683, 'support': 519}, 'accuracy': 0.31862068965517243, 'macro avg': {'precision': 0.43766267568974493, 'recall': 0.459677871934452, 'f1-score': 0.3072212249698245, 'support': 725}, 'weighted avg': {'precision': 0.5123322981923926, 'recall': 0.31862068965517243, 'f1-score': 0.2688552846847289, 'support': 725}}",
6,G04,"(18925, 43)","(725, 43)","{0.0: 13689, 1.0: 5236}","{1.0: 519, 0.0: 206}",shank,acc,stat,K-NearestNeighbors,0:00:00.317490,0.31724137931034485,0.2796505324966235,0.4958407121749566,0.31724137931034485,"[[152  54]
 [441  78]]","{'0.0': {'precision': 0.2563237774030354, 'recall': 0.7378640776699029, 'f1-score': 0.38047559449311635, 'support': 206}, '1.0': {'precision': 0.5909090909090909, 'recall': 0.15028901734104047, 'f1-score': 0.23963133640552994, 'support': 519}, 'accuracy': 0.31724137931034485, 'macro avg': {'precision': 0.4236164341560632, 'recall': 0.4440765475054717, 'f1-score': 0.31005346544932316, 'support': 725}, 'weighted avg': {'precision': 0.49584071217495657, 'recall': 0.31724137931034485, 'f1-score': 0.27965053249662347, 'support': 725}}",
7,G04,"(18925, 43)","(725, 43)","{0.0: 13689, 1.0: 5236}","{1.0: 519, 0.0: 206}",shank,acc,stat,K-NearestNeighbors_DynamicTimeWrapping,0:01:41.023371,0.31448275862068964,0.2742416518984364,0.4922696997920638,0.31448275862068964,"[[153  53]
 [444  75]]","{'0.0': {'precision': 0.2562814070351759, 'recall': 0.7427184466019418, 'f1-score': 0.38107098381070986, 'support': 206}, '1.0': {'precision': 0.5859375, 'recall': 0.14450867052023122, 'f1-score': 0.23183925811437406, 'support': 519}, 'accuracy': 0.31448275862068964, 'macro avg': {'precision': 0.42110945351758794, 'recall': 0.4436135585610865, 'f1-score': 0.30645512096254196, 'support': 725}, 'weighted avg': {'precision': 0.4922696997920638, 'recall': 0.31448275862068964, 'f1-score': 0.2742416518984364, 'support': 725}}",
8,G05,"(19185, 43)","(465, 43)","{0.0: 13430, 1.0: 5755}",{0.0: 465},shank,acc,stat,LSTM,0:05:29.359345,1.0,1.0,1.0,1.0,"[[462   0]
 [  0   0]]","{'0': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 462}, 'accuracy': 1.0, 'macro avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 462}, 'weighted avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 462}}",0.0059063294902443894
10,G05,"(19185, 43)","(465, 43)","{0.0: 13430, 1.0: 5755}",{0.0: 465},shank,acc,stat,SupportVectorsMachine,0:01:11.820863,0.7720430107526882,0.8713592233009709,1.0,0.7720430107526882,"[[359 106]
 [  0   0]]","{'0.0': {'precision': 1.0, 'recall': 0.7720430107526882, 'f1-score': 0.8713592233009709, 'support': 465}, '1.0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.7720430107526882, 'macro avg': {'precision': 0.5, 'recall': 0.3860215053763441, 'f1-score': 0.43567961165048547, 'support': 465}, 'weighted avg': {'precision': 1.0, 'recall': 0.7720430107526882, 'f1-score': 0.8713592233009709, 'support': 465}}",
11,G05,"(19185, 43)","(465, 43)","{0.0: 13430, 1.0: 5755}",{0.0: 465},shank,acc,stat,RandomForest,0:00:32.764427,0.9849462365591398,0.992416034669556,1.0,0.9849462365591398,"[[458   7]
 [  0   0]]","{'0.0': {'precision': 1.0, 'recall': 0.9849462365591398, 'f1-score': 0.9924160346695559, 'support': 465}, '1.0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.9849462365591398, 'macro avg': {'precision': 0.5, 'recall': 0.4924731182795699, 'f1-score': 0.49620801733477793, 'support': 465}, 'weighted avg': {'precision': 1.0, 'recall': 0.9849462365591398, 'f1-score': 0.9924160346695559, 'support': 465}}",
12,G05,"(19185, 43)","(465, 43)","{0.0: 13430, 1.0: 5755}",{0.0: 465},shank,acc,stat,DecisionTree,0:00:00.498567,0.9290322580645162,0.963210702341137,1.0,0.9290322580645162,"[[432  33]
 [  0   0]]","{'0.0': {'precision': 1.0, 'recall': 0.9290322580645162, 'f1-score': 0.963210702341137, 'support': 465}, '1.0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.9290322580645162, 'macro avg': {'precision': 0.5, 'recall': 0.4645161290322581, 'f1-score': 0.4816053511705685, 'support': 465}, 'weighted avg': {'precision': 1.0, 'recall': 0.9290322580645162, 'f1-score': 0.963210702341137, 'support': 465}}",
13,G05,"(19185, 43)","(465, 43)","{0.0: 13430, 1.0: 5755}",{0.0: 465},shank,acc,stat,GaussianNaiveBayes,0:00:00.023556,0.9763440860215054,0.9880304678998912,1.0,0.9763440860215054,"[[454  11]
 [  0   0]]","{'0.0': {'precision': 1.0, 'recall': 0.9763440860215054, 'f1-score': 0.9880304678998911, 'support': 465}, '1.0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.9763440860215054, 'macro avg': {'precision': 0.5, 'recall': 0.4881720430107527, 'f1-score': 0.49401523394994556, 'support': 465}, 'weighted avg': {'precision': 1.0, 'recall': 0.9763440860215054, 'f1-score': 0.9880304678998911, 'support': 465}}",
14,G05,"(19185, 43)","(465, 43)","{0.0: 13430, 1.0: 5755}",{0.0: 465},shank,acc,stat,K-NearestNeighbors,0:00:00.204655,0.946236559139785,0.9723756906077348,1.0,0.946236559139785,"[[440  25]
 [  0   0]]","{'0.0': {'precision': 1.0, 'recall': 0.946236559139785, 'f1-score': 0.9723756906077349, 'support': 465}, '1.0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.946236559139785, 'macro avg': {'precision': 0.5, 'recall': 0.4731182795698925, 'f1-score': 0.48618784530386744, 'support': 465}, 'weighted avg': {'precision': 1.0, 'recall': 0.946236559139785, 'f1-score': 0.9723756906077349, 'support': 465}}",
15,G05,"(19185, 43)","(465, 43)","{0.0: 13430, 1.0: 5755}",{0.0: 465},shank,acc,stat,K-NearestNeighbors_DynamicTimeWrapping,0:00:53.405169,0.9290322580645162,0.963210702341137,1.0,0.9290322580645162,"[[432  33]
 [  0   0]]","{'0.0': {'precision': 1.0, 'recall': 0.9290322580645162, 'f1-score': 0.963210702341137, 'support': 465}, '1.0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.9290322580645162, 'macro avg': {'precision': 0.5, 'recall': 0.4645161290322581, 'f1-score': 0.4816053511705685, 'support': 465}, 'weighted avg': {'precision': 1.0, 'recall': 0.9290322580645162, 'f1-score': 0.963210702341137, 'support': 465}}",
16,G06,"(19193, 43)","(457, 43)","{0.0: 13590, 1.0: 5603}","{0.0: 305, 1.0: 152}",shank,acc,stat,LSTM,0:05:28.156962,0.6651982665061951,0.6833333373069763,0.6651982665061951,0.6651982665061951,"[[302   0]
 [152   0]]","{'0': {'precision': 0.6651982378854625, 'recall': 1.0, 'f1-score': 0.7989417989417988, 'support': 302}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 152}, 'accuracy': 0.6651982378854625, 'macro avg': {'precision': 0.33259911894273125, 'recall': 0.5, 'f1-score': 0.3994708994708994, 'support': 454}, 'weighted avg': {'precision': 0.4424886956859244, 'recall': 0.6651982378854625, 'f1-score': 0.5314546768291262, 'support': 454}}",0.6569752693176271
18,G06,"(19193, 43)","(457, 43)","{0.0: 13590, 1.0: 5603}","{0.0: 305, 1.0: 152}",shank,acc,stat,SupportVectorsMachine,0:01:09.122053,0.5645514223194749,0.4844337212296918,0.42718192309746655,0.5645514223194749,"[[257  48]
 [151   1]]","{'0.0': {'precision': 0.6299019607843137, 'recall': 0.8426229508196721, 'f1-score': 0.7208976157082749, 'support': 305}, '1.0': {'precision': 0.02040816326530612, 'recall': 0.006578947368421052, 'f1-score': 0.009950248756218904, 'support': 152}, 'accuracy': 0.5645514223194749, 'macro avg': {'precision': 0.3251550620248099, 'recall': 0.42460094909404655, 'f1-score': 0.3654239322322469, 'support': 457}, 'weighted avg': {'precision': 0.42718192309746655, 'recall': 0.5645514223194749, 'f1-score': 0.48443372122969175, 'support': 457}}",
19,G06,"(19193, 43)","(457, 43)","{0.0: 13590, 1.0: 5603}","{0.0: 305, 1.0: 152}",shank,acc,stat,RandomForest,0:00:31.781365,0.6673960612691466,0.5342671881550911,0.4454175025975705,0.6673960612691466,"[[305   0]
 [152   0]]","{'0.0': {'precision': 0.6673960612691466, 'recall': 1.0, 'f1-score': 0.800524934383202, 'support': 305}, '1.0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 152}, 'accuracy': 0.6673960612691466, 'macro avg': {'precision': 0.3336980306345733, 'recall': 0.5, 'f1-score': 0.400262467191601, 'support': 457}, 'weighted avg': {'precision': 0.4454175025975705, 'recall': 0.6673960612691466, 'f1-score': 0.5342671881550911, 'support': 457}}",
20,G06,"(19193, 43)","(457, 43)","{0.0: 13590, 1.0: 5603}","{0.0: 305, 1.0: 152}",shank,acc,stat,DecisionTree,0:00:00.506249,0.6630196936542669,0.5321605435909247,0.44444177266934376,0.6630196936542669,"[[303   2]
 [152   0]]","{'0.0': {'precision': 0.6659340659340659, 'recall': 0.9934426229508196, 'f1-score': 0.7973684210526315, 'support': 305}, '1.0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 152}, 'accuracy': 0.6630196936542669, 'macro avg': {'precision': 0.33296703296703295, 'recall': 0.4967213114754098, 'f1-score': 0.39868421052631575, 'support': 457}, 'weighted avg': {'precision': 0.44444177266934376, 'recall': 0.6630196936542669, 'f1-score': 0.5321605435909247, 'support': 457}}",
21,G06,"(19193, 43)","(457, 43)","{0.0: 13590, 1.0: 5603}","{0.0: 305, 1.0: 152}",shank,acc,stat,GaussianNaiveBayes,0:00:00.024263,0.6017505470459519,0.5046194267453665,0.4406680396447419,0.6017505470459519,"[[274  31]
 [151   1]]","{'0.0': {'precision': 0.6447058823529411, 'recall': 0.898360655737705, 'f1-score': 0.7506849315068493, 'support': 305}, '1.0': {'precision': 0.03125, 'recall': 0.006578947368421052, 'f1-score': 0.010869565217391304, 'support': 152}, 'accuracy': 0.6017505470459519, 'macro avg': {'precision': 0.33797794117647056, 'recall': 0.452469801553063, 'f1-score': 0.38077724836212035, 'support': 457}, 'weighted avg': {'precision': 0.4406680396447419, 'recall': 0.6017505470459519, 'f1-score': 0.5046194267453665, 'support': 457}}",
22,G06,"(19193, 43)","(457, 43)","{0.0: 13590, 1.0: 5603}","{0.0: 305, 1.0: 152}",shank,acc,stat,K-NearestNeighbors,0:00:00.242878,0.7286652078774617,0.6996931646656998,0.7190631653949264,0.7286652078774617,"[[280  25]
 [ 99  53]]","{'0.0': {'precision': 0.7387862796833773, 'recall': 0.9180327868852459, 'f1-score': 0.8187134502923977, 'support': 305}, '1.0': {'precision': 0.6794871794871795, 'recall': 0.34868421052631576, 'f1-score': 0.4608695652173913, 'support': 152}, 'accuracy': 0.7286652078774617, 'macro avg': {'precision': 0.7091367295852784, 'recall': 0.6333584987057809, 'f1-score': 0.6397915077548946, 'support': 457}, 'weighted avg': {'precision': 0.7190631653949264, 'recall': 0.7286652078774617, 'f1-score': 0.6996931646656998, 'support': 457}}",
23,G06,"(19193, 43)","(457, 43)","{0.0: 13590, 1.0: 5603}","{0.0: 305, 1.0: 152}",shank,acc,stat,K-NearestNeighbors_DynamicTimeWrapping,0:01:07.630009,0.7133479212253829,0.6870139980402097,0.697170931618218,0.7133479212253829,"[[273  32]
 [ 99  53]]","{'0.0': {'precision': 0.7338709677419355, 'recall': 0.8950819672131147, 'f1-score': 0.8064992614475628, 'support': 305}, '1.0': {'precision': 0.6235294117647059, 'recall': 0.34868421052631576, 'f1-score': 0.44725738396624476, 'support': 152}, 'accuracy': 0.7133479212253829, 'macro avg': {'precision': 0.6787001897533207, 'recall': 0.6218830888697152, 'f1-score': 0.6268783227069038, 'support': 457}, 'weighted avg': {'precision': 0.697170931618218, 'recall': 0.7133479212253829, 'f1-score': 0.6870139980402097, 'support': 457}}",
24,G07,"(18855, 43)","(795, 43)","{0.0: 13762, 1.0: 5093}","{1.0: 662, 0.0: 133}",shank,acc,stat,LSTM,0:05:23.282248,0.16414141654968262,0.17249999940395355,0.16414141654968262,0.16414141654968262,"[[130   0]
 [662   0]]","{'0': {'precision': 0.16414141414141414, 'recall': 1.0, 'f1-score': 0.28199566160520606, 'support': 130}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 662}, 'accuracy': 0.16414141414141414, 'macro avg': {'precision': 0.08207070707070707, 'recall': 0.5, 'f1-score': 0.14099783080260303, 'support': 792}, 'weighted avg': {'precision': 0.026942403836343227, 'recall': 0.16414141414141414, 'f1-score': 0.046287166677622206, 'support': 792}}",2.7941765785217285
26,G07,"(18855, 43)","(795, 43)","{0.0: 13762, 1.0: 5093}","{1.0: 662, 0.0: 133}",shank,acc,stat,SupportVectorsMachine,0:01:02.988370,0.4025157232704403,0.4551096154200723,0.7327038267502075,0.4025157232704403,"[[ 91  42]
 [433 229]]","{'0.0': {'precision': 0.1736641221374046, 'recall': 0.6842105263157895, 'f1-score': 0.27701674277016747, 'support': 133}, '1.0': {'precision': 0.8450184501845018, 'recall': 0.3459214501510574, 'f1-score': 0.4908896034297964, 'support': 662}, 'accuracy': 0.4025157232704403, 'macro avg': {'precision': 0.5093412861609532, 'recall': 0.5150659882334234, 'f1-score': 0.3839531730999819, 'support': 795}, 'weighted avg': {'precision': 0.7327038267502075, 'recall': 0.4025157232704403, 'f1-score': 0.4551096154200723, 'support': 795}}",
27,G07,"(18855, 43)","(795, 43)","{0.0: 13762, 1.0: 5093}","{1.0: 662, 0.0: 133}",shank,acc,stat,RandomForest,0:00:31.321208,0.4465408805031447,0.4831686806586107,0.8601047809367351,0.4465408805031447,"[[130   3]
 [437 225]]","{'0.0': {'precision': 0.2292768959435626, 'recall': 0.9774436090225563, 'f1-score': 0.3714285714285714, 'support': 133}, '1.0': {'precision': 0.9868421052631579, 'recall': 0.33987915407854985, 'f1-score': 0.5056179775280899, 'support': 662}, 'accuracy': 0.44654088050314467, 'macro avg': {'precision': 0.6080595006033602, 'recall': 0.6586613815505531, 'f1-score': 0.4385232744783306, 'support': 795}, 'weighted avg': {'precision': 0.8601047809367351, 'recall': 0.44654088050314467, 'f1-score': 0.4831686806586107, 'support': 795}}",
28,G07,"(18855, 43)","(795, 43)","{0.0: 13762, 1.0: 5093}","{1.0: 662, 0.0: 133}",shank,acc,stat,DecisionTree,0:00:00.504028,0.4993710691823899,0.544555503697921,0.8555395912397529,0.4993710691823899,"[[127   6]
 [392 270]]","{'0.0': {'precision': 0.24470134874759153, 'recall': 0.9548872180451128, 'f1-score': 0.3895705521472393, 'support': 133}, '1.0': {'precision': 0.9782608695652174, 'recall': 0.4078549848942598, 'f1-score': 0.5756929637526653, 'support': 662}, 'accuracy': 0.49937106918238994, 'macro avg': {'precision': 0.6114811091564045, 'recall': 0.6813711014696863, 'f1-score': 0.4826317579499523, 'support': 795}, 'weighted avg': {'precision': 0.855539591239753, 'recall': 0.49937106918238994, 'f1-score': 0.544555503697921, 'support': 795}}",
29,G07,"(18855, 43)","(795, 43)","{0.0: 13762, 1.0: 5093}","{1.0: 662, 0.0: 133}",shank,acc,stat,GaussianNaiveBayes,0:00:00.025940,0.6578616352201258,0.6999865295321762,0.7997353809832658,0.6578616352201258,"[[ 87  46]
 [226 436]]","{'0.0': {'precision': 0.2779552715654952, 'recall': 0.6541353383458647, 'f1-score': 0.390134529147982, 'support': 133}, '1.0': {'precision': 0.9045643153526971, 'recall': 0.6586102719033232, 'f1-score': 0.7622377622377622, 'support': 662}, 'accuracy': 0.6578616352201258, 'macro avg': {'precision': 0.5912597934590962, 'recall': 0.656372805124594, 'f1-score': 0.5761861456928721, 'support': 795}, 'weighted avg': {'precision': 0.7997353809832658, 'recall': 0.6578616352201258, 'f1-score': 0.6999865295321762, 'support': 795}}",
30,G07,"(18855, 43)","(795, 43)","{0.0: 13762, 1.0: 5093}","{1.0: 662, 0.0: 133}",shank,acc,stat,K-NearestNeighbors,0:00:00.296518,0.5220125786163522,0.5671932185886146,0.8699377255925426,0.5220125786163522,"[[131   2]
 [378 284]]","{'0.0': {'precision': 0.25736738703339884, 'recall': 0.9849624060150376, 'f1-score': 0.4080996884735203, 'support': 133}, '1.0': {'precision': 0.993006993006993, 'recall': 0.42900302114803623, 'f1-score': 0.5991561181434598, 'support': 662}, 'accuracy': 0.5220125786163522, 'macro avg': {'precision': 0.625187190020196, 'recall': 0.706982713581537, 'f1-score': 0.50362790330849, 'support': 795}, 'weighted avg': {'precision': 0.8699377255925426, 'recall': 0.5220125786163522, 'f1-score': 0.5671932185886146, 'support': 795}}",
31,G07,"(18855, 43)","(795, 43)","{0.0: 13762, 1.0: 5093}","{1.0: 662, 0.0: 133}",shank,acc,stat,K-NearestNeighbors_DynamicTimeWrapping,0:01:28.627486,0.5157232704402516,0.5600648245413407,0.8725163471161291,0.5157232704402516,"[[132   1]
 [384 278]]","{'0.0': {'precision': 0.2558139534883721, 'recall': 0.9924812030075187, 'f1-score': 0.4067796610169492, 'support': 133}, '1.0': {'precision': 0.996415770609319, 'recall': 0.4199395770392749, 'f1-score': 0.5908607863974494, 'support': 662}, 'accuracy': 0.5157232704402516, 'macro avg': {'precision': 0.6261148620488455, 'recall': 0.7062103900233968, 'f1-score': 0.4988202237071993, 'support': 795}, 'weighted avg': {'precision': 0.8725163471161291, 'recall': 0.5157232704402516, 'f1-score': 0.5600648245413407, 'support': 795}}",
32,G08,"(16730, 43)","(2920, 43)","{0.0: 13673, 1.0: 3057}","{1.0: 2698, 0.0: 222}",shank,acc,stat,LSTM,0:05:01.064598,0.0750771313905716,0.08355977386236191,0.0750771313905716,0.0750771313905716,"[[ 219    0]
 [2698    0]]","{'0': {'precision': 0.0750771340418238, 'recall': 1.0, 'f1-score': 0.1396683673469388, 'support': 219}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2698}, 'accuracy': 0.0750771340418238, 'macro avg': {'precision': 0.0375385670209119, 'recall': 0.5, 'f1-score': 0.0698341836734694, 'support': 2917}, 'weighted avg': {'precision': 0.005636576055933977, 'recall': 0.0750771340418238, 'f1-score': 0.01048590073670881, 'support': 2917}}",1.5696948766708374
34,G08,"(16730, 43)","(2920, 43)","{0.0: 13673, 1.0: 3057}","{1.0: 2698, 0.0: 222}",shank,acc,stat,SupportVectorsMachine,0:00:44.967387,0.2743150684931507,0.36898926112367625,0.8087839431025658,0.2743150684931507,"[[ 121  101]
 [2018  680]]","{'0.0': {'precision': 0.0565684899485741, 'recall': 0.545045045045045, 'f1-score': 0.10249894112664126, 'support': 222}, '1.0': {'precision': 0.8706786171574904, 'recall': 0.2520385470719051, 'f1-score': 0.3909169301523426, 'support': 2698}, 'accuracy': 0.2743150684931507, 'macro avg': {'precision': 0.46362355355303225, 'recall': 0.39854179605847506, 'f1-score': 0.24670793563949192, 'support': 2920}, 'weighted avg': {'precision': 0.808783943102566, 'recall': 0.2743150684931507, 'f1-score': 0.36898926112367625, 'support': 2920}}",
35,G08,"(16730, 43)","(2920, 43)","{0.0: 13673, 1.0: 3057}","{1.0: 2698, 0.0: 222}",shank,acc,stat,RandomForest,0:00:27.578503,0.07671232876712329,0.04469106937332274,0.4751108173783012,0.07671232876712329,"[[ 169   53]
 [2643   55]]","{'0.0': {'precision': 0.060099573257467995, 'recall': 0.7612612612612613, 'f1-score': 0.11140408701384312, 'support': 222}, '1.0': {'precision': 0.5092592592592593, 'recall': 0.020385470719051148, 'f1-score': 0.03920171062009978, 'support': 2698}, 'accuracy': 0.07671232876712329, 'macro avg': {'precision': 0.2846794162583636, 'recall': 0.3908233659901562, 'f1-score': 0.07530289881697144, 'support': 2920}, 'weighted avg': {'precision': 0.4751108173783012, 'recall': 0.07671232876712329, 'f1-score': 0.044691069373322734, 'support': 2920}}",
36,G08,"(16730, 43)","(2920, 43)","{0.0: 13673, 1.0: 3057}","{1.0: 2698, 0.0: 222}",shank,acc,stat,DecisionTree,0:00:00.450401,0.288013698630137,0.3850133459688361,0.8182427347317991,0.288013698630137,"[[ 125   97]
 [1982  716]]","{'0.0': {'precision': 0.05932605600379687, 'recall': 0.5630630630630631, 'f1-score': 0.107342206955775, 'support': 222}, '1.0': {'precision': 0.8806888068880688, 'recall': 0.2653817642698295, 'f1-score': 0.40786100825975513, 'support': 2698}, 'accuracy': 0.288013698630137, 'macro avg': {'precision': 0.4700074314459328, 'recall': 0.4142224136664463, 'f1-score': 0.25760160760776507, 'support': 2920}, 'weighted avg': {'precision': 0.818242734731799, 'recall': 0.288013698630137, 'f1-score': 0.3850133459688361, 'support': 2920}}",
37,G08,"(16730, 43)","(2920, 43)","{0.0: 13673, 1.0: 3057}","{1.0: 2698, 0.0: 222}",shank,acc,stat,GaussianNaiveBayes,0:00:00.036911,0.07260273972602739,0.01664387330990005,0.3133048932707652,0.07260273972602739,"[[ 202   20]
 [2688   10]]","{'0.0': {'precision': 0.0698961937716263, 'recall': 0.9099099099099099, 'f1-score': 0.12982005141388175, 'support': 222}, '1.0': {'precision': 0.3333333333333333, 'recall': 0.0037064492216456633, 'f1-score': 0.007331378299120235, 'support': 2698}, 'accuracy': 0.07260273972602739, 'macro avg': {'precision': 0.20161476355247981, 'recall': 0.4568081795657778, 'f1-score': 0.06857571485650099, 'support': 2920}, 'weighted avg': {'precision': 0.31330489327076516, 'recall': 0.07260273972602739, 'f1-score': 0.01664387330990005, 'support': 2920}}",
38,G08,"(16730, 43)","(2920, 43)","{0.0: 13673, 1.0: 3057}","{1.0: 2698, 0.0: 222}",shank,acc,stat,K-NearestNeighbors,0:00:00.515567,0.477054794520548,0.5851881964451214,0.8785032863322909,0.477054794520548,"[[ 147   75]
 [1452 1246]]","{'0.0': {'precision': 0.09193245778611632, 'recall': 0.6621621621621622, 'f1-score': 0.1614497528830313, 'support': 222}, '1.0': {'precision': 0.9432248296744891, 'recall': 0.4618235730170497, 'f1-score': 0.620054739985071, 'support': 2698}, 'accuracy': 0.47705479452054794, 'macro avg': {'precision': 0.5175786437303027, 'recall': 0.561992867589606, 'f1-score': 0.39075224643405115, 'support': 2920}, 'weighted avg': {'precision': 0.8785032863322909, 'recall': 0.47705479452054794, 'f1-score': 0.5851881964451214, 'support': 2920}}",
39,G08,"(16730, 43)","(2920, 43)","{0.0: 13673, 1.0: 3057}","{1.0: 2698, 0.0: 222}",shank,acc,stat,K-NearestNeighbors_DynamicTimeWrapping,0:02:57.763421,0.490068493150685,0.5986123241466388,0.8719022376034721,0.490068493150685,"[[ 134   88]
 [1401 1297]]","{'0.0': {'precision': 0.08729641693811074, 'recall': 0.6036036036036037, 'f1-score': 0.1525327262379055, 'support': 222}, '1.0': {'precision': 0.9364620938628159, 'recall': 0.48072646404744257, 'f1-score': 0.6353171687484693, 'support': 2698}, 'accuracy': 0.49006849315068496, 'macro avg': {'precision': 0.5118792554004633, 'recall': 0.5421650338255231, 'f1-score': 0.3939249474931874, 'support': 2920}, 'weighted avg': {'precision': 0.871902237603472, 'recall': 0.49006849315068496, 'f1-score': 0.5986123241466388, 'support': 2920}}",
40,G09,"(19058, 43)","(592, 43)","{0.0: 13303, 1.0: 5755}",{0.0: 592},shank,acc,stat,LSTM,0:05:31.264689,1.0,1.0,1.0,1.0,"[[589   0]
 [  0   0]]","{'0': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 589}, 'accuracy': 1.0, 'macro avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 589}, 'weighted avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 589}}",0.0033925680909305807
