0.883092 (0.070033) with: {'batch_size': 32, 'dropout_rate': 0.3, 'epochs': 300, 'init': 'uniform', 'num_hidden_layers': 2, 'optimizer': 'Adamax'}
0.908213 (0.065316) with: {'batch_size': 32, 'dropout_rate': 0.3, 'epochs': 300, 'init': 'uniform', 'num_hidden_layers': 3, 'optimizer': 'adam'}
0.687923 (0.101913) with: {'batch_size': 32, 'dropout_rate': 0.3, 'epochs': 300, 'init': 'uniform', 'num_hidden_layers': 3, 'optimizer': 'SGD'}
0.887923 (0.078040) with: {'batch_size': 32, 'dropout_rate': 0.3, 'epochs': 300, 'init': 'uniform', 'num_hidden_layers': 3, 'optimizer': 'Adamax'}
0.891787 (0.060770) with: {'batch_size': 32, 'dropout_rate': 0.3, 'epochs': 300, 'init': 'uniform', 'num_hidden_layers': 4, 'optimizer': 'adam'}
0.687923 (0.101913) with: {'batch_size': 32, 'dropout_rate': 0.3, 'epochs': 300, 'init': 'uniform', 'num_hidden_layers': 4, 'optimizer': 'SGD'}
0.899517 (0.068004) with: {'batch_size': 32, 'dropout_rate': 0.3, 'epochs': 300, 'init': 'uniform', 'num_hidden_layers': 4, 'optimizer': 'Adamax'}
0.895652 (0.070113) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 100, 'init': 'normal', 'num_hidden_layers': 2, 'optimizer': 'adam'}
0.687923 (0.101913) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 100, 'init': 'normal', 'num_hidden_layers': 2, 'optimizer': 'SGD'}
0.897585 (0.079638) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 100, 'init': 'normal', 'num_hidden_layers': 2, 'optimizer': 'Adamax'}
0.896618 (0.077391) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 100, 'init': 'normal', 'num_hidden_layers': 3, 'optimizer': 'adam'}
0.687923 (0.101913) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 100, 'init': 'normal', 'num_hidden_layers': 3, 'optimizer': 'SGD'}
0.897585 (0.078814) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 100, 'init': 'normal', 'num_hidden_layers': 3, 'optimizer': 'Adamax'}
0.900483 (0.075251) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 100, 'init': 'normal', 'num_hidden_layers': 4, 'optimizer': 'adam'}
0.687923 (0.101913) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 100, 'init': 'normal', 'num_hidden_layers': 4, 'optimizer': 'SGD'}
0.897585 (0.080686) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 100, 'init': 'normal', 'num_hidden_layers': 4, 'optimizer': 'Adamax'}
0.901449 (0.063841) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 100, 'init': 'uniform', 'num_hidden_layers': 2, 'optimizer': 'adam'}
0.687923 (0.101913) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 100, 'init': 'uniform', 'num_hidden_layers': 2, 'optimizer': 'SGD'}
0.901449 (0.081446) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 100, 'init': 'uniform', 'num_hidden_layers': 2, 'optimizer': 'Adamax'}
0.903382 (0.074340) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 100, 'init': 'uniform', 'num_hidden_layers': 3, 'optimizer': 'adam'}
0.687923 (0.101913) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 100, 'init': 'uniform', 'num_hidden_layers': 3, 'optimizer': 'SGD'}
0.899517 (0.072650) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 100, 'init': 'uniform', 'num_hidden_layers': 3, 'optimizer': 'Adamax'}
0.880193 (0.066967) with: {'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 100, 'init': 'uniform', 'num_hidden_layers': 4, 'optimizer': 'adam'}
